TICKER,DURATION,PERIODEND,INDEXNAME,FORECAST_VALUE,ORIGINAL_VALUE,FORECAST_CUMULATIVEVALUE,ORIGINAL_CUMULATIVEVALUE,COMMENT,FORECAST_ERROR_PERCENTAGE,RELEASEDDATE,YOYCHANGE,INDEXHEALTH
ADBE,Est. Quarter,2017-06-30,Global Transaction Index (Legacy),4.22871452005285,4.2884487,19.64048552905285,18.2931508856,QTD Forecast,-1.3929%,,,
ADBE,Est. Quarter,2017-09-30,Global Transaction Index (Legacy),4.441161548713044,4.547943014999995,24.141381256713046,22.7405349496,QTD Forecast,-2.3479%,,,
ADBE,Est. Quarter,2017-12-31,Global Transaction Index (Legacy),4.849439222772677,4.842105272999994,29.09760194577268,27.5272683743871,QTD Forecast,0.1515%,,,
ADBE,Est. Quarter,2018-03-31,Global Transaction Index (Legacy),5.03164787241116,5.134494125999997,34.12191586941117,32.43343951364516,QTD Forecast,-2.0030%,,,
ADBE,Est. Quarter,2018-06-30,Global Transaction Index (Legacy),5.408219749099581,5.444123399999998,39.63298187109959,37.9098383974,QTD Forecast,-0.6595%,,,
ADBE,Est. Quarter,2018-09-30,Global Transaction Index (Legacy),5.452103834445902,5.555294020999992,45.120989356445904,43.4012681892,QTD Forecast,-1.8575%,,,
ADBE,Est. Quarter,2018-12-31,Global Transaction Index (Legacy),5.96023759517544,6.006931956999995,51.21358391517545,49.28355432635484,QTD Forecast,-0.7773%,,,
ADBE,Est. Quarter,2019-03-31,Global Transaction Index (Legacy),6.3045981212413835,6.3412148490000035,57.55556999024138,55.439928130903226,QTD Forecast,-0.5774%,,,
ADBE,Est. Quarter,2019-06-30,Global Transaction Index (Legacy),6.609273697590244,6.680999349000006,64.19140986859024,62.0855918053,QTD Forecast,-1.0736%,,,
ADBE,Est. Quarter,2019-09-30,Global Transaction Index (Legacy),6.872718360318835,7.050639710999985,71.13585388031885,68.96803763916667,QTD Forecast,-2.5235%,,,
ADBE,Est. Quarter,2019-12-31,Global Transaction Index (Legacy),7.539996770652842,7.605300599000005,78.85377200165284,76.41218865290323,QTD Forecast,-0.8587%,,,
ADBE,Est. Quarter,2020-03-31,Global Transaction Index (Legacy),7.989426576897511,8.050860402999996,86.90850240789752,84.27475397851613,QTD Forecast,-0.7631%,,,
ADBE,Est. Quarter,2020-06-30,Global Transaction Index (Legacy),8.503204422425503,8.630080931000004,95.4731406554255,92.76388661513333,QTD Forecast,-1.4702%,,,
ADBE,Est. Quarter,2020-09-30,Global Transaction Index (Legacy),9.161257948850734,9.369402293000004,104.76127511385074,101.87159991843335,QTD Forecast,-2.2215%,,,
ADBE,Est. Quarter,2020-12-31,Global Transaction Index (Legacy),9.994248100151934,10.023157362000013,114.96366755715194,111.7273545338387,QTD Forecast,-0.2884%,,,
ADBE,Est. Quarter,2021-03-31,Global Transaction Index (Legacy),10.517968341639573,10.498152890999998,125.51054516063958,121.98101739838711,QTD Forecast,0.1888%,,,
ADBE,Est. Quarter,2021-06-30,Global Transaction Index (Legacy),10.775030700590664,10.933888331999997,136.26576041059067,132.83266695433332,QTD Forecast,-1.4529%,,,
ADBE,Est. Quarter,2021-09-30,Global Transaction Index (Legacy),11.039411042468046,11.23357599099999,147.464029084468,143.98194044123332,QTD Forecast,-1.7284%,,,
ADBE,Est. Quarter,2021-12-31,Global Transaction Index (Legacy),11.77399043757383,11.760248464999986,159.43218447057382,155.619559628,QTD Forecast,0.1169%,,,
ADBE,Est. Quarter,2022-03-31,Global Transaction Index (Legacy),12.134658772815584,12.164613266000003,171.55310127081557,167.48105868303224,QTD Forecast,-0.2462%,,,
ADBE,Est. Quarter,2022-06-30,Global Transaction Index (Legacy),12.447734201700099,12.540109248000016,184.03078996470006,180.06474698806664,QTD Forecast,-0.7366%,,,
ADBE,Est. Quarter,2022-09-30,Global Transaction Index (Legacy),12.627976293733443,12.809717427000018,196.75114130473344,192.76798199756666,QTD Forecast,-1.4188%,,,
ADBE,Est. Quarter,2022-12-31,Global Transaction Index (Legacy),13.212166486205096,13.163996483000014,210.14504892320505,205.8667174232258,QTD Forecast,0.3659%,,,
ADBE,Est. Quarter,2023-03-31,Global Transaction Index (Legacy),13.316962519512844,13.360642048000004,223.41384143951288,218.94505170800002,QTD Forecast,-0.3269%,,,
ADBE,Est. Quarter,2023-06-30,Global Transaction Index (Legacy),13.655336907282884,13.806043986999985,237.11285787428287,232.76205377153332,QTD Forecast,-1.0916%,,,
ADBE,Est. Quarter,2023-09-30,Global Transaction Index (Legacy),13.919730360241566,14.133441906999984,251.18329531424158,246.7926865383,QTD Forecast,-1.5121%,,,
ADBE,Est. Quarter,2023-12-31,Global Transaction Index (Legacy),14.566551193520901,14.506298876000017,265.9635580545209,261.2466530047419,QTD Forecast,0.4154%,,,
ADBE,Est. Quarter,2024-03-31,Global Transaction Index (Legacy),15.19573275458276,15.079301714000026,281.0990384925828,276.08970060200005,QTD Forecast,0.7721%,,,
ADBE,Est. Quarter,2024-06-30,Global Transaction Index (Legacy),15.174811481011002,15.241528036999986,296.15741893201096,291.3224864438333,QTD Forecast,-0.4377%,,,
ADBE,Est. Quarter,2024-09-30,Global Transaction Index (Legacy),15.250558708006476,15.511174952000001,311.47469419700644,306.66431100936666,QTD Forecast,-1.6802%,,,
ADBE,Est. Quarter,2024-12-31,Global Transaction Index (Legacy),15.764949353587367,15.797985906000031,327.50025979358736,322.39529237696775,QTD Forecast,-0.2091%,,,
ADBE,Est. Quarter,2025-03-31,Global Transaction Index (Legacy),15.989314287455993,16.046013994999992,343.522610634456,338.1570564852258,QTD Forecast,-0.3534%,,,
ADBE,Est. Quarter,2025-06-30,Global Transaction Index (Legacy),15.997272731499109,16.217511680999987,359.57658307349914,354.47960155590005,QTD Forecast,-1.3580%,,,
DASH,Est. Quarter,2018-03-31,Global New Store Index,3.7572079645188676,2.509404170000003,4.757207964518867,2.213742836129032,QTD Forecast,49.7251%,,,
DASH,Est. Quarter,2018-06-30,Global New Store Index,4.913989898981637,5.182063025000008,8.423394069981637,6.883732770833333,QTD Forecast,-5.1731%,,,
DASH,Est. Quarter,2018-09-30,Global New Store Index,4.678164683095427,4.428120514999999,13.36963188009543,11.9156877353,QTD Forecast,5.6467%,,,
DASH,Est. Quarter,2018-12-31,Global New Store Index,3.509059046788491,3.537619192999995,16.62864675878849,15.510643831129032,QTD Forecast,-0.8073%,,,
DASH,Est. Quarter,2019-03-31,Global New Store Index,5.905985674067555,6.056052066000008,22.56319257806756,20.613218765161292,QTD Forecast,-2.4780%,,,
DASH,Est. Quarter,2019-06-30,Global New Store Index,5.9574642257117665,5.55411832999999,28.670723195711766,26.80411840043333,QTD Forecast,7.2621%,,,
DASH,Est. Quarter,2019-09-30,Global New Store Index,5.5608649713309815,6.0160675049999925,33.82824227033098,32.0999604306,QTD Forecast,-7.5664%,,,
DASH,Est. Quarter,2019-12-31,Global New Store Index,6.586336860996253,6.563897277999989,40.86978166599626,38.77134336816129,QTD Forecast,0.3419%,,,
DASH,Est. Quarter,2020-03-31,Global New Store Index,3.892898176734943,5.522916553999995,44.74024025873494,43.47795064051613,QTD Forecast,-29.5137%,,,
