TICKER,DURATION,PERIODEND,INDEXNAME,VALUE,CUMULATIVEVALUE,COMMENT,RELEASEDDATE,YOYCHANGE,INDEXHEALTH
ADBE,Day,2019-02-01,Global Transaction Index,0.07435787028571428,53.39195548428572,,,,
ADBE,Day,2019-02-02,Global Transaction Index,0.07435787028571428,53.466313354571426,,,,
ADBE,Day,2019-02-03,Global Transaction Index,0.07435787028571428,53.54067122485714,,,,
ADBE,Day,2019-02-04,Global Transaction Index,0.07435787028571428,53.61502909514286,,,,
ADBE,Day,2019-02-05,Global Transaction Index,0.07435787028571428,53.689386965428575,,,,
ADBE,Day,2019-02-06,Global Transaction Index,0.07435787028571428,53.763744835714284,,,,
ADBE,Day,2019-02-07,Global Transaction Index,0.07435787028571428,53.838102706,,,,
ADBE,Day,2019-02-08,Global Transaction Index,0.07435787028571428,53.91246057628572,,,,
ADBE,Day,2019-02-09,Global Transaction Index,0.07435787028571428,53.98681844657143,,,,
ADBE,Day,2019-02-10,Global Transaction Index,0.07435787028571428,54.06117631685714,,,,
ADBE,Day,2019-02-11,Global Transaction Index,0.07435787028571428,54.13553418714286,,,,
ADBE,Day,2019-02-12,Global Transaction Index,0.07435787028571428,54.20989205742857,,,,
ADBE,Day,2019-02-13,Global Transaction Index,0.07435787028571428,54.284249927714285,,,,
ADBE,Day,2019-02-14,Global Transaction Index,0.07435787028571428,54.358607798,,,,
ADBE,Day,2019-02-15,Global Transaction Index,0.07435787028571428,54.43296566828572,,,,
ADBE,Day,2019-02-16,Global Transaction Index,0.07435787028571428,54.50732353857143,,,,
ADBE,Day,2019-02-17,Global Transaction Index,0.07435787028571428,54.58168140885714,,,,
ADBE,Day,2019-02-18,Global Transaction Index,0.07435787028571428,54.65603927914286,,,,
ADBE,Day,2019-02-19,Global Transaction Index,0.07435787028571428,54.73039714942857,,,,
ADBE,Day,2019-02-20,Global Transaction Index,0.07435787028571428,54.804755019714285,,,,
ADBE,Day,2019-02-21,Global Transaction Index,0.07435787028571428,54.87911289,,,,
ADBE,Day,2019-02-22,Global Transaction Index,0.07435787028571428,54.95347076028571,,,,
ADBE,Day,2019-02-23,Global Transaction Index,0.07435787028571428,55.02782863057143,,,,
ADBE,Day,2019-02-24,Global Transaction Index,0.07435787028571428,55.102186500857144,,,,
ADBE,Day,2019-02-25,Global Transaction Index,0.07435787028571428,55.17654437114286,,,,
ADBE,Day,2019-02-26,Global Transaction Index,0.07435787028571428,55.25090224142857,,,,
ADBE,Day,2019-02-27,Global Transaction Index,0.07435787028571428,55.325260111714286,,,,
ADBE,Day,2019-02-28,Global Transaction Index,0.07435787028571428,55.399617982,,,,
ADBE,Day,2019-03-01,Global Transaction Index,0.07050212858064515,55.470120110580645,,,,
ADBE,Day,2019-03-02,Global Transaction Index,0.07050212858064515,55.540622239161294,,,,
ADBE,Day,2019-03-03,Global Transaction Index,0.07050212858064515,55.61112436774194,,,,
ADBE,Day,2019-03-04,Global Transaction Index,0.07050212858064515,55.681626496322586,,,,
ADBE,Day,2019-03-05,Global Transaction Index,0.07050212858064515,55.75212862490323,,,,
ADBE,Day,2019-03-06,Global Transaction Index,0.07050212858064515,55.82263075348387,,,,
ADBE,Day,2019-03-07,Global Transaction Index,0.07050212858064515,55.89313288206452,,,,
ADBE,Day,2019-03-08,Global Transaction Index,0.07050212858064515,55.96363501064516,,,,
ADBE,Day,2019-03-09,Global Transaction Index,0.07050212858064515,56.034137139225805,,,,
ADBE,Day,2019-03-10,Global Transaction Index,0.07050212858064515,56.104639267806455,,,,
ADBE,Day,2019-03-11,Global Transaction Index,0.07050212858064515,56.1751413963871,,,,
ADBE,Day,2019-03-12,Global Transaction Index,0.07050212858064515,56.24564352496775,,,,
ADBE,Day,2019-03-13,Global Transaction Index,0.07050212858064515,56.31614565354839,,,,
ADBE,Day,2019-03-14,Global Transaction Index,0.07050212858064515,56.38664778212903,,,,
ADBE,Day,2019-03-15,Global Transaction Index,0.07050212858064515,56.45714991070968,,,,
ADBE,Day,2019-03-16,Global Transaction Index,0.07050212858064515,56.527652039290324,,,,
ADBE,Day,2019-03-17,Global Transaction Index,0.07050212858064515,56.59815416787097,,,,
ADBE,Day,2019-03-18,Global Transaction Index,0.07050212858064515,56.668656296451616,,,,
ADBE,Day,2019-03-19,Global Transaction Index,0.07050212858064515,56.73915842503226,,,,
ADBE,Day,2019-03-20,Global Transaction Index,0.07050212858064515,56.80966055361291,,,,
ADBE,Day,2019-03-21,Global Transaction Index,0.07050212858064515,56.88016268219355,,,,
ADBE,Day,2019-03-22,Global Transaction Index,0.07050212858064515,56.95066481077419,,,,
ADBE,Day,2019-03-23,Global Transaction Index,0.07050212858064515,57.02116693935484,,,,
ADBE,Day,2019-03-24,Global Transaction Index,0.07050212858064515,57.091669067935484,,,,
ADBE,Day,2019-03-25,Global Transaction Index,0.07050212858064515,57.162171196516134,,,,
ADBE,Day,2019-03-26,Global Transaction Index,0.07050212858064515,57.232673325096776,,,,
ADBE,Day,2019-03-27,Global Transaction Index,0.07050212858064515,57.30317545367742,,,,
ADBE,Day,2019-03-28,Global Transaction Index,0.07050212858064515,57.37367758225807,,,,
ADBE,Day,2019-03-29,Global Transaction Index,0.07050212858064515,57.44417971083871,,,,
ADBE,Day,2019-03-30,Global Transaction Index,0.07050212858064515,57.51468183941936,,,,
ADBE,Day,2019-03-31,Global Transaction Index,0.07050212858064515,57.585183968,,,,
ADBE,Day,2019-04-01,Global Transaction Index,0.0719508142,57.6571347822,,,,
ADBE,Day,2019-04-02,Global Transaction Index,0.0719508142,57.729085596400004,,,,
ADBE,Day,2019-04-03,Global Transaction Index,0.0719508142,57.801036410600005,,,,
ADBE,Day,2019-04-04,Global Transaction Index,0.0719508142,57.8729872248,,,,
ADBE,Day,2019-04-05,Global Transaction Index,0.0719508142,57.944938039,,,,
ADBE,Day,2019-04-06,Global Transaction Index,0.0719508142,58.0168888532,,,,
ADBE,Day,2019-04-07,Global Transaction Index,0.0719508142,58.0888396674,,,,
ADBE,Day,2019-04-08,Global Transaction Index,0.0719508142,58.1607904816,,,,
ADBE,Day,2019-04-09,Global Transaction Index,0.0719508142,58.232741295800004,,,,
ADBE,Day,2019-04-10,Global Transaction Index,0.0719508142,58.304692110000005,,,,
